SubjectID	Day_Period	Aerococcus	Anaerococcus	Ureaplasma	Parvimonas	L. iners	Finegoldia	Staphylococcus	Porphyromonas	Atopobium	Gardnerella	L. crispatus	Peptostreptococcus	Sneathia	Streptococcus	Prevotella	Peptoniphilus	Incertae_Sedis_XI.1	L. gasseri	Corynebacterium	Dialister	L.otu5	L.otu3	Ruminococcaceae.3
1.2	50	0.003967612	0.001000389	0.002510939	0.00618119	0.427395442	0.000228106	0.000171793	3.26E-05	0.219500221	0.01857883	0.013898054	0.000307473	0.055642318	9.46E-05	0.013011642	0.002999384	0.000125031	0	0.002813033	0.001479582	0.001761667	0.000121965	0.048110693
1.3	0	0.003001776	0.001732812	0.001479241	0.009684545	0	0.000680399	0.000163592	0.000156322	0.533509851	0.018964462	0.012232839	0.000614285	0.10644595	0.000115225	0.020451413	0.004790743	0.000187098	0	0.00448439	0.001301998	0.005866058	0.000214895	0.123388272
1.3	5	0.003008968	0.001849552	0.001390524	0.010260068	0	0.00075625	0.000165069	0.000177164	0.516858831	0.019395031	0.01233151	0.000655982	0.11472581	0.000119931	0.022008805	0.005081587	0.000201158	0	0.004755908	0.001318673	0.006497876	0.000230112	0.131001905
1.3	10	0.003133317	0.002047324	0.001336821	0.011272234	0	0.000871741	0.000172366	0.000207814	0.483216853	0.020567672	0.012877169	0.000725564	0.125762392	0.0001295	0.024615363	0.005588754	0.000224974	0	0.005231787	0.001385103	0.007459256	0.000255447	0.143039466
1.3	15	0.003165456	0.002192916	0.001222035	0.011983105	0	0.000972382	0.00017378	0.000235436	0.467740606	0.021106556	0.012998459	0.000775561	0.130865885	0.000135366	0.026697079	0.00594634	0.000244222	0	0.005570349	0.001408216	0.008280496	0.000274274	0.149672071
1.3	20	0.002867582	0.002098601	0.000975604	0.011381116	0	0.000969104	0.000156182	0.000237888	0.513051612	0.019356928	0.011712225	0.000739694	0.11924513	0.000126488	0.025925231	0.005651309	0.000237612	0	0.005300363	0.001279932	0.008208021	0.000262974	0.138339191
1.3	25	0.002387834	0.001837253	0.000690727	0.00988814	0.01113897	0.000883591	0.000128104	0.000219524	0.579307447	0.016248213	0.00964689	0.000644494	0.097193351	0.000108192	0.023079998	0.004912014	0.000212148	0	0.004615267	0.001065238	0.007439246	0.000230519	0.115379969
1.3	30	0.002091675	0.001681841	0.000488769	0.008982608	0.031710268	0.000842424	0.000109598	0.000211494	0.61149721	0.014272091	0.008303533	0.00058632	0.080685669	9.68E-05	0.021529783	0.004462862	0.000198673	0	0.004203581	0.000928258	0.007046957	0.000211143	0.098979138
1.3	35	0.001950368	0.001626797	0.000339975	0.008621876	0.054607492	0.000848739	9.88E-05	0.000214995	0.619999909	0.013260798	0.007549604	0.000562757	0.068729439	9.17E-05	0.021265657	0.004283033	0.000197198	0	0.004047127	0.000856265	0.007050837	0.000204194	0.088190237
1.3	40	0.001894903	0.001625387	0.000213224	0.008547763	0.073512392	0.000883358	9.18E-05	0.000225458	0.622510872	0.012745059	0.007089924	0.000557033	0.058491132	8.97E-05	0.021741191	0.004244241	0.000202792	0	0.004026613	0.000817772	0.007284803	0.000203802	0.079780524
1.3	45	0.001887573	0.001648611	9.45E-05	0.008602277	0.080684785	0.000933458	8.63E-05	0.00023973	0.633099588	0.01245748	0.006761385	0.000558765	0.048538992	8.92E-05	0.022610075	0.004267799	0.000212329	0	0.004068924	0.00079516	0.00763879	0.0002063	0.071994234
1.3	50	0.001898113	0.001669615	0	0.008643292	0.066548188	0.000985063	8.08E-05	0.000254243	0.665772799	0.012184668	0.006443167	0.000558607	0.038176588	8.87E-05	0.023524439	0.00428294	0.000222609	0	0.004107554	0.000774725	0.007996304	0.000208289	0.063714184
