SubjectID	Day_Period	Aerococcus	Anaerococcus	Ureaplasma	Parvimonas	L. iners	Finegoldia	Staphylococcus	Porphyromonas	Atopobium	Gardnerella	L. crispatus	Peptostreptococcus	Sneathia	Streptococcus	Prevotella	Peptoniphilus	Incertae_Sedis_XI.1	L. gasseri	Corynebacterium	Dialister	L.otu5	L.otu3	Ruminococcaceae.3
1.5	10	0.009414605	0.001144671	0.000249989	0.004437815	0.288894487	0.002193342	2.94E-05	0.000499028	0.519689605	0.017345259	0.007750404	0	0	8.30E-05	0.052465118	0.001370608	0.000648821	9.49E-05	0.003559295	0.001461169	0.013850466	2.39E-05	0.028543353
2.1	0	0	3.10E-05	0.000391442	0.029560584	0.735158755	0.001381348	0.000852453	0.000107685	0	0	0.000285103	0	0	2.72E-05	0.119534789	0.012409069	0.000521863	0	0.000294898	0.00149094	0.005265935	0.001033316	0
2.1	5	0.007881625	2.12E-05	0.000297561	0.02689264	0.021992693	0.001146403	0.000568777	9.13E-05	0.766371887	0.015846998	0.000350556	0	0	3.01E-05	0.061351879	0.009937406	0.00053493	0	0.000179127	0.001151193	0.005944661	0.00089198	0
2.1	10	0.020276822	1.20E-05	0.000175841	0.02035286	0.565919473	0.000826579	0.000259417	6.45E-05	0	0.259623442	0.000344727	0	0	3.30E-05	0.061536461	0.006553248	0.000457057	0	6.71E-05	0.000741817	0.00562791	0.000645707	0
2.1	15	0.031602081	8.61E-06	9.93E-05	0.016775592	0	0.000706071	5.93E-05	5.02E-05	0.635781234	0.179484558	0.000360854	9.27E-05	0	4.35E-05	0.077755665	0.004712832	0.000426938	0	0	0.000544328	0.005878871	0.000518446	0
2.1	20	0.039069798	8.39E-06	3.63E-05	0.012815781	0.31090006	0.000634525	0	3.72E-05	0.473209133	0.062787055	0.000346071	0.000198267	0	5.54E-05	0.055104338	0.003245496	0.000371993	0	0	0.000419583	0.005802741	0.000399759	0
2.1	25	0.046850464	1.21E-05	0	0.010060167	0.703343547	0.000678195	0	3.01E-05	0.129298937	0.0412678	0.000340375	0.000307655	0	7.39E-05	0.029084282	0.002535684	0.000336457	0	0	0.000412037	0.006051288	0.000336997	0
2.2	0	0.048166899	1.52E-05	0	0.008082162	0.730089454	0.000700303	0	2.58E-05	0.09934099	0.048937319	0.000314166	0.000352523	0	8.22E-05	0.029423763	0.00221714	0.00029648	0	0	0.000424285	0.005871893	0.000295381	0
2.2	5	0.052271905	2.36E-05	0	0.005737615	0.240697037	0.000829752	0	2.29E-05	0.512575219	0.071850288	0.000285645	0.000441362	0	0.000102625	0.082834181	0.002210464	0.00025043	0	0	0.000529876	0.00596652	0.000268427	0
2.2	10	0.048920301	3.09E-05	0	0.003322635	0.418080698	0.000897746	0	2.01E-05	0.304012366	0.083645139	0.00022117	0.000463048	0	0.00011077	0.110952058	0.002313212	0.000180215	0	1.11E-05	0.000621199	0.005380891	0.000234602	0
